iter	Passed	Remaining
0	0	98
1	1	86
2	2	81
3	3	77
4	3	75
5	4	77
6	5	77
7	6	79
8	8	82
9	9	88
10	11	94
11	12	90
12	13	87
13	13	84
14	14	82
15	15	80
16	16	78
17	16	76
18	17	75
19	18	73
20	19	72
21	20	71
22	21	70
23	22	70
24	23	69
25	23	68
26	24	67
27	25	65
28	26	64
29	27	63
30	27	61
31	28	60
32	29	59
33	30	58
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	52
40	35	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
