iter	Passed	Remaining
0	1	1224
1	2	1029
2	2	972
3	3	957
4	4	932
5	5	944
6	6	923
7	7	906
8	8	888
9	8	864
10	9	860
11	10	887
12	11	893
13	12	892
14	13	888
15	14	882
16	15	875
17	15	869
18	16	872
19	17	869
20	18	867
21	19	864
22	20	862
23	21	858
24	21	857
25	22	853
26	23	850
27	24	852
28	25	858
29	26	858
30	27	857
31	28	857
32	29	859
33	30	856
34	31	858
35	32	863
36	33	862
37	34	861
38	34	859
39	35	858
40	36	856
41	37	859
42	38	859
43	39	862
44	40	862
45	41	857
46	42	854
47	42	851
48	43	850
49	44	848
50	45	846
51	46	843
52	47	840
53	47	838
54	48	838
55	49	837
56	50	834
57	51	832
58	52	830
59	53	830
60	54	833
61	55	833
62	55	832
63	56	830
64	57	829
65	58	827
66	59	825
67	60	825
68	61	823
69	61	822
70	62	821
71	63	819
72	64	817
73	65	816
74	65	813
75	68	830
76	69	833
77	70	829
78	70	826
79	71	823
80	72	819
81	72	817
82	73	815
83	74	814
84	75	811
85	76	810
86	76	807
87	77	804
88	78	803
89	79	800
90	80	800
91	81	801
92	82	800
93	83	804
94	84	801
95	84	800
96	85	797
97	86	795
98	87	793
99	87	791
100	88	788
101	89	786
102	90	785
103	91	784
104	91	783
105	92	783
106	93	782
107	94	779
108	95	777
109	95	776
110	96	775
111	97	774
112	98	772
113	99	772
114	100	770
115	100	768
116	101	766
117	102	765
118	103	763
119	104	764
120	104	761
121	105	761
122	106	762
123	107	760
124	108	758
125	109	758
126	110	756
127	110	755
128	112	759
129	113	761
130	114	760
131	115	760
132	116	757
133	117	756
134	117	754
135	118	752
136	119	751
137	120	750
138	120	748
139	121	746
140	122	744
141	123	744
142	123	742
143	124	740
144	125	739
145	126	740
146	127	738
147	127	736
148	128	734
149	129	732
150	129	730
151	130	729
152	131	730
153	132	728
154	133	727
155	134	726
156	135	725
157	135	724
158	136	722
159	137	720
160	137	718
161	138	717
162	139	717
163	140	718
164	141	716
165	142	715
166	143	713
167	143	712
168	144	710
169	145	710
170	146	710
171	147	708
172	147	707
173	148	706
174	149	706
175	150	705
176	151	704
177	152	703
178	153	702
179	153	700
180	154	700
181	155	700
182	156	698
183	157	699
184	158	698
185	159	697
186	160	695
187	160	694
188	161	692
189	162	691
190	162	689
191	163	688
192	164	687
193	165	685
194	166	685
195	166	684
196	167	683
197	168	683
198	169	682
199	170	681
200	171	680
201	171	678
202	172	676
203	173	675
204	174	674
205	174	674
206	175	673
207	176	672
208	177	671
209	178	670
210	179	669
211	179	668
212	180	666
213	181	665
214	181	663
215	182	663
216	183	662
217	184	661
218	185	660
219	185	658
220	186	657
221	187	656
222	188	656
223	189	655
224	189	653
225	190	652
226	191	651
227	192	650
228	192	649
229	193	648
230	194	647
231	195	646
232	196	645
233	197	645
234	198	644
235	198	643
236	199	643
237	200	643
238	201	642
239	202	641
240	203	639
241	203	638
242	204	637
243	205	637
244	206	636
245	207	635
246	208	634
247	208	633
248	209	632
249	210	630
250	211	630
251	212	631
252	213	630
253	214	629
254	215	628
255	215	626
256	216	626
257	217	625
258	218	623
259	218	622
260	219	621
261	220	620
262	220	619
263	221	618
264	222	617
265	223	615
266	224	615
267	225	615
268	226	616
269	227	615
270	228	614
271	229	613
272	230	613
273	231	612
274	232	612
275	232	610
276	233	609
277	234	608
278	235	607
279	235	606
280	236	605
281	237	604
282	238	603
283	239	604
284	240	604
285	241	603
286	243	603
287	243	602
288	244	601
289	245	601
290	246	600
291	247	599
292	248	598
293	249	598
294	249	597
295	250	596
296	251	595
297	253	596
298	254	596
299	255	596
300	256	596
301	257	594
302	258	593
303	258	592
304	260	592
305	260	591
306	261	589
307	262	589
308	263	588
309	263	587
310	264	585
311	265	584
312	266	586
313	270	590
314	271	590
315	272	590
316	273	589
317	274	588
318	275	587
319	275	586
320	276	585
321	277	584
322	278	583
323	279	582
324	279	581
325	280	580
326	281	579
327	282	578
328	283	578
329	284	577
330	285	576
331	286	575
332	287	575
333	288	575
334	289	574
335	290	573
336	290	572
337	291	571
338	292	571
339	293	570
340	295	570
341	297	572
342	298	572
343	299	571
344	300	570
345	301	569
346	301	568
347	302	567
348	303	566
349	304	566
350	305	565
351	306	564
352	307	563
353	308	562
354	309	561
355	309	560
356	311	560
357	312	560
358	313	560
359	314	559
360	315	558
361	315	556
362	317	556
363	317	555
364	318	554
365	319	553
366	320	552
367	321	551
368	321	550
369	322	549
370	323	548
371	323	546
372	324	546
373	326	545
374	326	544
375	328	544
376	328	543
377	329	542
378	330	541
379	331	541
380	332	540
381	333	539
382	334	538
383	335	537
384	335	536
385	336	535
386	338	535
387	339	534
388	339	533
389	341	533
390	341	532
391	342	531
392	343	530
393	344	529
394	345	529
395	346	528
396	346	526
397	347	525
398	348	525
399	349	523
400	350	523
401	350	521
402	351	521
403	353	521
404	354	520
405	354	519
406	355	518
407	356	517
408	357	516
409	358	515
410	359	514
411	359	513
412	360	512
413	361	511
414	362	511
415	363	509
416	364	508
417	364	507
418	365	506
419	366	506
420	368	506
421	369	506
422	370	505
423	371	504
424	372	503
425	373	502
426	373	501
427	374	500
428	375	499
429	376	499
430	377	498
431	377	496
432	378	495
433	379	494
434	380	493
435	381	493
436	382	492
437	382	491
438	383	490
439	384	489
440	385	488
441	386	487
442	387	486
443	388	485
444	388	484
445	389	484
446	390	482
447	391	482
448	392	481
449	392	480
450	393	479
451	395	479
452	396	478
453	397	477
454	398	477
455	399	476
456	400	475
457	401	474
458	402	474
459	403	473
460	404	472
461	404	471
462	405	470
463	406	469
464	407	468
465	408	467
466	409	467
467	410	466
468	412	466
469	413	466
470	414	465
471	415	464
472	416	463
473	417	462
474	418	462
475	418	460
476	419	460
477	420	459
478	421	458
479	422	458
480	425	458
481	426	458
482	426	456
483	427	455
484	428	455
485	429	454
486	430	453
487	431	452
488	431	451
489	432	450
490	433	449
491	434	448
492	435	447
493	435	446
494	436	445
495	438	445
496	439	445
497	440	444
498	441	443
499	442	442
500	444	442
501	445	441
502	446	440
503	446	439
504	447	438
505	448	437
506	449	436
507	449	435
508	450	434
509	451	434
510	452	433
511	453	432
512	454	431
513	455	430
514	457	430
515	457	429
516	458	428
517	459	427
518	459	426
519	460	425
520	461	424
521	462	423
522	462	422
523	463	421
524	464	420
525	465	419
526	466	419
527	468	418
528	468	417
529	469	416
530	470	415
531	470	414
532	471	413
533	472	412
534	473	411
535	473	410
536	474	409
537	475	408
538	476	407
539	476	406
540	477	405
541	478	404
542	479	403
543	480	402
544	481	402
545	482	400
546	482	399
547	483	398
548	484	397
549	485	396
550	485	395
551	486	394
552	487	393
553	488	393
554	489	392
555	489	391
556	490	390
557	491	389
558	492	388
559	492	387
560	494	386
561	495	385
562	495	384
563	496	383
564	497	382
565	498	381
566	499	381
567	500	380
568	500	379
569	501	378
570	502	377
571	502	376
572	503	375
573	504	374
574	505	373
575	505	372
576	506	371
577	507	370
578	508	369
579	509	369
580	510	368
581	511	367
582	512	366
583	512	365
584	513	364
585	514	363
586	515	362
587	516	361
588	517	361
589	518	360
590	519	359
591	520	358
592	521	357
593	521	356
594	522	355
595	523	355
596	524	353
597	525	352
598	525	351
599	526	350
600	527	349
601	527	349
602	528	348
603	529	347
604	530	346
605	531	345
606	531	344
607	532	343
608	533	342
609	534	341
610	534	340
611	536	339
612	537	339
613	537	338
614	538	337
615	539	336
616	540	335
617	541	334
618	542	333
619	542	332
620	543	331
621	544	330
622	544	329
623	545	328
624	546	327
625	547	326
626	548	326
627	548	325
628	549	324
629	550	323
630	551	322
631	552	321
632	552	320
633	553	319
634	554	318
635	555	317
636	555	316
637	556	315
638	557	314
639	558	313
640	558	312
641	559	311
642	560	311
643	561	310
644	562	309
645	562	308
646	563	307
647	564	306
648	565	305
649	566	305
650	567	304
651	568	303
652	569	302
653	569	301
654	570	300
655	571	299
656	572	298
657	573	297
658	573	296
659	574	296
660	575	295
661	576	294
662	577	293
663	578	292
664	579	291
665	580	290
666	581	290
667	581	289
668	582	288
669	583	287
670	584	286
671	584	285
672	585	284
673	586	283
674	587	282
675	588	281
676	588	280
677	589	279
678	590	279
679	591	278
680	591	277
681	592	276
682	593	275
683	594	274
684	595	273
685	596	272
686	597	272
687	597	271
688	598	270
689	599	269
690	600	268
691	601	267
692	602	266
693	603	266
694	604	265
695	605	264
696	606	263
697	608	263
698	609	262
699	610	261
700	611	260
701	612	260
702	613	259
703	614	258
704	615	257
705	616	256
706	617	256
707	618	255
708	619	254
709	620	253
710	621	252
711	622	251
712	623	251
713	624	250
714	625	249
715	626	248
716	627	247
717	628	246
718	629	245
719	629	244
720	630	244
721	631	243
722	632	242
723	633	241
724	634	240
725	634	239
726	635	238
727	637	238
728	639	237
729	640	236
730	641	236
731	642	235
732	643	234
733	644	233
734	645	232
735	646	231
736	647	231
737	648	230
738	649	229
739	650	228
740	651	227
741	652	226
742	653	226
